model,train_cost,test_cost,train_mse,test_mse
LS,178189.21956162588,176562.55589558627,117.39854431152344,117.69453430175781
GD,174303.14139458275,172565.08367067715,117.44984436035156,117.74172973632812
OPTIMAL,154836.17437734027,152133.59613603965,0.0,0.0
