model,train_cost,test_cost,train_mse,test_mse
LS,902173.3840610309,801135.2615559233,22.59722328186035,22.833511352539062
GD,863884.9193700602,760829.7078979991,24.756532669067383,24.98078727722168
OPTIMAL,746655.2131117507,636727.2383616783,0.0,0.0
