model,train_cost,test_cost,train_mse,test_mse
LS,82627.52211203866,82968.83968619163,29.382793426513672,29.464576721191406
GD,75214.30310766448,75625.41764388117,32.709068298339844,32.75131607055664
NM,81903.74687701765,82429.84296950533,29.4599609375,29.581846237182617
OPTIMAL,69466.2765969163,70100.72285071283,0.0,0.0
