model,train_cost,test_cost,train_mse,test_mse
LS,6838.10446323389,7608.624527120163,1.6619384288787842,1.6883872747421265
GD,6735.120830077282,7627.592971531367,125.8089599609375,125.91049194335938
NM,6784.970021740082,7617.156160200288,4.619588851928711,4.653384685516357
OPTIMAL,6467.697702832408,7265.665267771073,0.0,0.0
