model,train_cost,test_cost,train_mse,test_mse
LS,14613.799377545614,9423.981580181318,0.1680595725774765,0.1704890877008438
GD,14580.059062012508,9377.238736775034,102.30830383300781,102.3031234741211
NM,14580.755971515433,9384.12742247191,0.277312308549881,0.2693864107131958
