model,train_cost,test_cost,train_mse,test_mse
LS,124357.16194594942,123313.01845959862,14.55860710144043,14.816549301147461
GD,82528.8045660123,82549.91718934159,34.42074203491211,34.75300216674805
NM,113999.67702238807,113038.8125402604,15.765644073486328,16.175832748413086
OPTIMAL,51642.973942131175,51631.89952381825,0.0,0.0
