I,n_layers,n_params,time_ls,yerr_ls_train,cost_ls_train,yerr_ls_test,cost_ls_test,time_bl,yerr_bl_train,cost_bl_train,yerr_bl_test,cost_bl_test,time_nm,yerr_nm_train,cost_nm_train,yerr_nm_test,cost_nm_test,time_gd,yerr_gd_train,cost_gd_train,yerr_gd_test,cost_gd_test
1,0,5,0.18694806098937988,7.611897,-312.0007351907094,10.072657,-124.34482481002807,0.1379408836364746,20.454116821289062,-317.89883335431415,26.1552734375,-129.81950384140015,38.61260986328125,19.902788162231445,-317.8398421319326,24.96148109436035,-130.08883863449097,60.53531002998352,20.676674,-317.8501599152883,26.62275,-130.06723062515258
2,0,10,0.009466886520385742,8.462068,-200.93110377013684,11.253305,-97.1444638901949,NaN,NaN,NaN,NaN,NaN,66.65971207618713,23.053152084350586,-213.89803602874278,27.812397003173828,-111.78533080339432,60.11900997161865,21.410595,-213.93773859679698,26.370335,-111.65203833758831
10,0,50,0.03254103660583496,8.469666,-951.6267905449743,9.908162,-774.3819285273552,NaN,NaN,NaN,NaN,NaN,88.05494403839111,12.952604293823242,-1003.9883210257565,15.261295318603516,-825.2622602105141,60.37485718727112,23.39975,-1018.2999998370682,24.824785,-837.9052317404747
20,0,100,0.060189008712768555,8.556292,-2188.881943645974,10.252211,-1740.3113120285793,NaN,NaN,NaN,NaN,NaN,115.94009494781494,9.106606483459473,-2235.3635289006434,10.404451370239258,-1795.0004621235653,60.02498388290405,23.740685,-2318.8652814178668,24.79307,-1895.737063629534
50,0,250,0.16326904296875,8.972465,-4766.270797223176,10.327813,-3186.141077490151,NaN,NaN,NaN,NaN,NaN,213.22841906547546,9.479874610900879,-4793.502436394617,10.926321983337402,-3212.7238467291,60.20355701446533,28.017765,-5088.5804366123675,27.488052,-3537.9913608521224
100,0,500,0.302109956741333,8.777108,-9993.160890593908,9.869627,-6060.253720190003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.36701488494873,35.719383,-10581.378045593985,50.98089,-6669.970917487219
