model,train_cost,test_cost,train_mse,test_mse
LS,28943.66310341541,29154.238267432575,45.525691986083984,45.58597183227539
GD,28846.949045954854,29051.500050781513,45.7926139831543,45.82308578491211
NM,28899.781327283617,29168.559139457077,45.764793395996094,45.782737731933594
OPTIMAL,28406.429896031146,28628.956397598125,0.0,0.0
