model,train_cost,test_cost,train_mse,test_mse
LS,89897.95292021218,96369.5791995545,3.8778443336486816,3.9647793769836426
GD,84638.25062872058,91598.60614014664,6.034530162811279,6.130039691925049
NM,84636.60658975929,91627.84000171229,4.5545525550842285,4.650001049041748
OPTIMAL,73504.09266706998,81371.33654462296,0.0,0.0
