model,train_cost,test_cost,train_mse,test_mse
LS,12276.922373271502,10958.081837850625,0.23952245712280273,0.23023198544979095
GD,12221.098295602504,10916.476066597621,16.115583419799805,16.111360549926758
NM,12197.45487307725,10916.471186405579,71.50621032714844,71.50636291503906
