model,train_cost,test_cost,train_mse,test_mse
LS,32760.93300954915,33496.56488219982,57.4281005859375,57.55139923095703
GD,28711.128125606974,29362.072391354628,58.36177062988281,58.459815979003906
OPTIMAL,22947.85404078774,23268.40808180268,0.0,0.0
